name,description,requirements,min_age,max_age,min_income,max_income,premium_amount,duration_years,category,policy_number,policy_type,benefits,claim_settlement_ratio,network_hospitals,waiting_period,add_on_covers,special_features,tax_benefit,claim_process
WellCare Shield 573,Comprehensive health coverage for individuals with cashless hospitalization.,Aadhar Card;PAN Card;Medical Certificate,18,57,300000,1200000,33181,16,Health,POL1000,Premium Policy,ICU and surgery cover; Pre and post hospitalization; Maternity benefits; Critical illness cover; No claim bonus,94.4%,8826+ hospitals,15 days,Dental care; Maternity rider; Critical illness rider,Extended coverage with faster claims,Section 80D,Cashless Claim
MediSecure Plus 501,Premium medical insurance with annual health checkups and critical illness cover.,Aadhar Card;PAN Card;Medical Certificate,22,61,200000,800000,73121,24,Health,POL1001,General Policy,Basic hospitalization cover; Cashless treatment; Doctor consultation; Emergency ambulance; Annual health checkup,90.3%,4204+ hospitals,30 days,Accidental cover; OPD support,Affordable essential protection,Section 80D,Cashless Claim
HealthGuard Elite 337,Affordable plan offering doctor consultations and pharmacy discounts.,Aadhar Card;PAN Card;Medical Certificate,27,49,50000,1200000,41084,17,Health,POL1002,Premium Policy,ICU and surgery cover; Pre and post hospitalization; Maternity benefits; Critical illness cover; No claim bonus,95.0%,8811+ hospitals,15 days,Dental care; Maternity rider; Critical illness rider,Extended coverage with faster claims,Section 80D,Cashless Claim
Wellness Prime 836,Exclusive plan with maternity and emergency care support.,Aadhar Card;PAN Card;Medical Certificate,30,59,50000,800000,88377,25,Health,POL1003,Premium Policy,ICU and surgery cover; Pre and post hospitalization; Maternity benefits; Critical illness cover; No claim bonus,95.2%,7179+ hospitals,15 days,Dental care; Maternity rider; Critical illness rider,Extended coverage with faster claims,Section 80D,Cashless Claim
CareSure Advantage 572,Full-spectrum health protection with no-claim bonus benefits.,Aadhar Card;PAN Card;Medical Certificate,20,49,300000,800000,48181,6,Health,POL1004,Premium Policy,ICU and surgery cover; Pre and post hospitalization; Maternity benefits; Critical illness cover; No claim bonus,96.2%,8371+ hospitals,15 days,Dental care; Maternity rider; Critical illness rider,Extended coverage with faster claims,Section 80D,Cashless Claim
Lifeline Protect 986,Comprehensive health coverage for individuals with cashless hospitalization.,Aadhar Card;PAN Card;Medical Certificate,23,46,300000,800000,63107,29,Health,POL1005,Premium Policy,ICU and surgery cover; Pre and post hospitalization; Maternity benefits; Critical illness cover; No claim bonus,96.9%,6099+ hospitals,15 days,Dental care; Maternity rider; Critical illness rider,Extended coverage with faster claims,Section 80D,Cashless Claim
VitalHealth Cover 713,Premium medical insurance with annual health checkups and critical illness cover.,Aadhar Card;PAN Card;Medical Certificate,24,59,50000,800000,28390,6,Health,POL1006,General Policy,Basic hospitalization cover; Cashless treatment; Doctor consultation; Emergency ambulance; Annual health checkup,91.0%,3203+ hospitals,30 days,Accidental cover; OPD support,Affordable essential protection,Section 80D,Cashless Claim
Shield360 Medical 357,Affordable plan offering doctor consultations and pharmacy discounts.,Aadhar Card;PAN Card;Medical Certificate,22,48,300000,500000,23544,5,Health,POL1007,VIP Policy,Unlimited cashless hospitalization; Private room cover; International treatment; Priority claim settlement; Family floater,97.8%,12303+ hospitals,No waiting period,Air ambulance; Home healthcare; Global treatment,Luxury healthcare with VIP support,Section 80D,Cashless Claim
MediAssist Premier 189,Exclusive plan with maternity and emergency care support.,Aadhar Card;PAN Card;Medical Certificate,19,46,100000,800000,14661,27,Health,POL1008,Premium Policy,ICU and surgery cover; Pre and post hospitalization; Maternity benefits; Critical illness cover; No claim bonus,95.1%,8941+ hospitals,15 days,Dental care; Maternity rider; Critical illness rider,Extended coverage with faster claims,Section 80D,Cashless Claim
Healthwise Platinum 646,Full-spectrum health protection with no-claim bonus benefits.,Aadhar Card;PAN Card;Medical Certificate,26,51,100000,1200000,82704,6,Health,POL1009,Premium Policy,ICU and surgery cover; Pre and post hospitalization; Maternity benefits; Critical illness cover; No claim bonus,95.7%,8156+ hospitals,15 days,Dental care; Maternity rider; Critical illness rider,Extended coverage with faster claims,Section 80D,Cashless Claim
WellCare Shield 676,Comprehensive health coverage for individuals with cashless hospitalization.,Aadhar Card;PAN Card;Medical Certificate,26,49,200000,500000,62877,8,Health,POL1010,VIP Policy,Unlimited cashless hospitalization; Private room cover; International treatment; Priority claim settlement; Family floater,97.9%,14397+ hospitals,No waiting period,Air ambulance; Home healthcare; Global treatment,Luxury healthcare with VIP support,Section 80D,Cashless Claim
MediSecure Plus 723,Premium medical insurance with annual health checkups and critical illness cover.,Aadhar Card;PAN Card;Medical Certificate,24,58,50000,800000,13096,16,Health,POL1011,General Policy,Basic hospitalization cover; Cashless treatment; Doctor consultation; Emergency ambulance; Annual health checkup,90.2%,3259+ hospitals,30 days,Accidental cover; OPD support,Affordable essential protection,Section 80D,Cashless Claim
HealthGuard Elite 271,Affordable plan offering doctor consultations and pharmacy discounts.,Aadhar Card;PAN Card;Medical Certificate,23,51,200000,1200000,60864,21,Health,POL1012,General Policy,Basic hospitalization cover; Cashless treatment; Doctor consultation; Emergency ambulance; Annual health checkup,93.4%,5197+ hospitals,30 days,Accidental cover; OPD support,Affordable essential protection,Section 80D,Cashless Claim
Wellness Prime 486,Exclusive plan with maternity and emergency care support.,Aadhar Card;PAN Card;Medical Certificate,22,45,50000,1200000,87133,21,Health,POL1013,General Policy,Basic hospitalization cover; Cashless treatment; Doctor consultation; Emergency ambulance; Annual health checkup,90.8%,3716+ hospitals,30 days,Accidental cover; OPD support,Affordable essential protection,Section 80D,Cashless Claim
CareSure Advantage 660,Full-spectrum health protection with no-claim bonus benefits.,Aadhar Card;PAN Card;Medical Certificate,24,64,200000,1200000,19052,30,Health,POL1014,VIP Policy,Unlimited cashless hospitalization; Private room cover; International treatment; Priority claim settlement; Family floater,97.8%,12293+ hospitals,No waiting period,Air ambulance; Home healthcare; Global treatment,Luxury healthcare with VIP support,Section 80D,Cashless Claim
Lifeline Protect 624,Comprehensive health coverage for individuals with cashless hospitalization.,Aadhar Card;PAN Card;Medical Certificate,29,47,300000,500000,80462,21,Health,POL1015,VIP Policy,Unlimited cashless hospitalization; Private room cover; International treatment; Priority claim settlement; Family floater,97.0%,10040+ hospitals,No waiting period,Air ambulance; Home healthcare; Global treatment,Luxury healthcare with VIP support,Section 80D,Cashless Claim
VitalHealth Cover 261,Premium medical insurance with annual health checkups and critical illness cover.,Aadhar Card;PAN Card;Medical Certificate,29,65,100000,1200000,44867,5,Health,POL1016,General Policy,Basic hospitalization cover; Cashless treatment; Doctor consultation; Emergency ambulance; Annual health checkup,92.5%,4166+ hospitals,30 days,Accidental cover; OPD support,Affordable essential protection,Section 80D,Cashless Claim
Shield360 Medical 949,Affordable plan offering doctor consultations and pharmacy discounts.,Aadhar Card;PAN Card;Medical Certificate,25,61,50000,1200000,43614,22,Health,POL1017,General Policy,Basic hospitalization cover; Cashless treatment; Doctor consultation; Emergency ambulance; Annual health checkup,88.1%,5325+ hospitals,30 days,Accidental cover; OPD support,Affordable essential protection,Section 80D,Cashless Claim
MediAssist Premier 966,Exclusive plan with maternity and emergency care support.,Aadhar Card;PAN Card;Medical Certificate,29,63,100000,1200000,25303,7,Health,POL1018,General Policy,Basic hospitalization cover; Cashless treatment; Doctor consultation; Emergency ambulance; Annual health checkup,92.8%,4565+ hospitals,30 days,Accidental cover; OPD support,Affordable essential protection,Section 80D,Cashless Claim
Healthwise Platinum 140,Full-spectrum health protection with no-claim bonus benefits.,Aadhar Card;PAN Card;Medical Certificate,25,49,100000,800000,36352,23,Health,POL1019,General Policy,Basic hospitalization cover; Cashless treatment; Doctor consultation; Emergency ambulance; Annual health checkup,93.2%,5483+ hospitals,30 days,Accidental cover; OPD support,Affordable essential protection,Section 80D,Cashless Claim
DriveSafe Protect 255,"Covers accidental damage, third-party liability, and theft protection.",Aadhar Card;PAN Card;Driving License;Number of the vehicle's registration;Legal RC,23,42,100000,500000,12957,26,Car,POL1020,Premium Policy,ICU and surgery cover; Pre and post hospitalization; Maternity benefits; Critical illness cover; No claim bonus,95.0%,8630+ hospitals,15 days,Dental care; Maternity rider; Critical illness rider,Extended coverage with faster claims,Section 80D,Cashless Claim
AutoShield Premium 207,Zero-depreciation car insurance with roadside assistance.,Aadhar Card;PAN Card;Driving License;Number of the vehicle's registration;Legal RC,19,59,100000,500000,65692,9,Car,POL1021,VIP Policy,Unlimited cashless hospitalization; Private room cover; International treatment; Priority claim settlement; Family floater,98.4%,10197+ hospitals,No waiting period,Air ambulance; Home healthcare; Global treatment,Luxury healthcare with VIP support,Section 80D,Cashless Claim
RoadGuard Secure 339,Premium plan with engine and gearbox protection included.,Aadhar Card;PAN Card;Driving License;Number of the vehicle's registration;Legal RC,25,48,50000,500000,86261,11,Car,POL1022,General Policy,Basic hospitalization cover; Cashless treatment; Doctor consultation; Emergency ambulance; Annual health checkup,88.1%,4061+ hospitals,30 days,Accidental cover; OPD support,Affordable essential protection,Section 80D,Cashless Claim
CarSure Elite 815,Affordable policy with rapid claim settlement and towing support.,Aadhar Card;PAN Card;Driving License;Number of the vehicle's registration;Legal RC,24,56,100000,1200000,74081,27,Car,POL1023,General Policy,Basic hospitalization cover; Cashless treatment; Doctor consultation; Emergency ambulance; Annual health checkup,91.3%,5813+ hospitals,30 days,Accidental cover; OPD support,Affordable essential protection,Section 80D,Cashless Claim
DriveWell Cover 864,"Full coverage for fire, flood, and collision risks.",Aadhar Card;PAN Card;Driving License;Number of the vehicle's registration;Legal RC,26,49,200000,500000,27018,17,Car,POL1024,Premium Policy,ICU and surgery cover; Pre and post hospitalization; Maternity benefits; Critical illness cover; No claim bonus,95.7%,7331+ hospitals,15 days,Dental care; Maternity rider; Critical illness rider,Extended coverage with faster claims,Section 80D,Cashless Claim
MotorMax Assurance 173,"Covers accidental damage, third-party liability, and theft protection.",Aadhar Card;PAN Card;Driving License;Number of the vehicle's registration;Legal RC,24,42,50000,800000,6776,12,Car,POL1025,Premium Policy,ICU and surgery cover; Pre and post hospitalization; Maternity benefits; Critical illness cover; No claim bonus,95.5%,8961+ hospitals,15 days,Dental care; Maternity rider; Critical illness rider,Extended coverage with faster claims,Section 80D,Cashless Claim
TurboProtect Plan 677,Zero-depreciation car insurance with roadside assistance.,Aadhar Card;PAN Card;Driving License;Number of the vehicle's registration;Legal RC,29,49,50000,1200000,82755,13,Car,POL1026,Premium Policy,ICU and surgery cover; Pre and post hospitalization; Maternity benefits; Critical illness cover; No claim bonus,96.3%,6114+ hospitals,15 days,Dental care; Maternity rider; Critical illness rider,Extended coverage with faster claims,Section 80D,Cashless Claim
WheelGuard Advantage 333,Premium plan with engine and gearbox protection included.,Aadhar Card;PAN Card;Driving License;Number of the vehicle's registration;Legal RC,25,53,200000,1200000,49809,21,Car,POL1027,General Policy,Basic hospitalization cover; Cashless treatment; Doctor consultation; Emergency ambulance; Annual health checkup,93.4%,3500+ hospitals,30 days,Accidental cover; OPD support,Affordable essential protection,Section 80D,Cashless Claim
RideSafe Ultimate 905,Affordable policy with rapid claim settlement and towing support.,Aadhar Card;PAN Card;Driving License;Number of the vehicle's registration;Legal RC,21,61,100000,1200000,4965,13,Car,POL1028,Premium Policy,ICU and surgery cover; Pre and post hospitalization; Maternity benefits; Critical illness cover; No claim bonus,96.9%,8233+ hospitals,15 days,Dental care; Maternity rider; Critical illness rider,Extended coverage with faster claims,Section 80D,Cashless Claim
DriveSecure Plus 789,"Full coverage for fire, flood, and collision risks.",Aadhar Card;PAN Card;Driving License;Number of the vehicle's registration;Legal RC,22,55,200000,800000,37289,24,Car,POL1029,VIP Policy,Unlimited cashless hospitalization; Private room cover; International treatment; Priority claim settlement; Family floater,99.1%,14558+ hospitals,No waiting period,Air ambulance; Home healthcare; Global treatment,Luxury healthcare with VIP support,Section 80D,Cashless Claim
LifeShield Secure 100,Secure your family's future with long-term life coverage and tax benefits.,Aadhar Card;PAN Card;Income Proof;Medical Records,22,41,100000,500000,95646,6,Life,POL1030,General Policy,Basic hospitalization cover; Cashless treatment; Doctor consultation; Emergency ambulance; Annual health checkup,89.2%,4103+ hospitals,30 days,Accidental cover; OPD support,Affordable essential protection,Section 80D,Cashless Claim
FutureGuard Plan 570,Plan designed to support dependents with lump sum payout on demise.,Aadhar Card;PAN Card;Income Proof;Medical Records,18,58,200000,500000,36227,8,Life,POL1031,Premium Policy,ICU and surgery cover; Pre and post hospitalization; Maternity benefits; Critical illness cover; No claim bonus,96.1%,8664+ hospitals,15 days,Dental care; Maternity rider; Critical illness rider,Extended coverage with faster claims,Section 80D,Cashless Claim
SafeLife Elite 894,Affordable premium term plan with accidental death benefits.,Aadhar Card;PAN Card;Income Proof;Medical Records,18,51,50000,1200000,91681,7,Life,POL1032,General Policy,Basic hospitalization cover; Cashless treatment; Doctor consultation; Emergency ambulance; Annual health checkup,88.2%,3996+ hospitals,30 days,Accidental cover; OPD support,Affordable essential protection,Section 80D,Cashless Claim
LifeCare Shield 326,Comprehensive life insurance with maturity return options.,Aadhar Card;PAN Card;Income Proof;Medical Records,23,56,200000,500000,43909,13,Life,POL1033,General Policy,Basic hospitalization cover; Cashless treatment; Doctor consultation; Emergency ambulance; Annual health checkup,91.7%,5818+ hospitals,30 days,Accidental cover; OPD support,Affordable essential protection,Section 80D,Cashless Claim
GuardianLife Plus 361,Flexible policy with riders for disability and critical illness.,Aadhar Card;PAN Card;Income Proof;Medical Records,24,52,300000,800000,72059,19,Life,POL1034,VIP Policy,Unlimited cashless hospitalization; Private room cover; International treatment; Priority claim settlement; Family floater,97.7%,14703+ hospitals,No waiting period,Air ambulance; Home healthcare; Global treatment,Luxury healthcare with VIP support,Section 80D,Cashless Claim
TermSafe Protect 276,Secure your family's future with long-term life coverage and tax benefits.,Aadhar Card;PAN Card;Income Proof;Medical Records,23,59,100000,500000,77050,23,Life,POL1035,General Policy,Basic hospitalization cover; Cashless treatment; Doctor consultation; Emergency ambulance; Annual health checkup,90.0%,3096+ hospitals,30 days,Accidental cover; OPD support,Affordable essential protection,Section 80D,Cashless Claim
SecureFuture Policy 714,Plan designed to support dependents with lump sum payout on demise.,Aadhar Card;PAN Card;Income Proof;Medical Records,20,49,200000,1200000,74120,12,Life,POL1036,General Policy,Basic hospitalization cover; Cashless treatment; Doctor consultation; Emergency ambulance; Annual health checkup,88.3%,3216+ hospitals,30 days,Accidental cover; OPD support,Affordable essential protection,Section 80D,Cashless Claim
LifeAhead Assurance 258,Affordable premium term plan with accidental death benefits.,Aadhar Card;PAN Card;Income Proof;Medical Records,22,65,300000,500000,82509,18,Life,POL1037,Premium Policy,ICU and surgery cover; Pre and post hospitalization; Maternity benefits; Critical illness cover; No claim bonus,95.4%,8690+ hospitals,15 days,Dental care; Maternity rider; Critical illness rider,Extended coverage with faster claims,Section 80D,Cashless Claim
ProtectLife Advantage 908,Comprehensive life insurance with maturity return options.,Aadhar Card;PAN Card;Income Proof;Medical Records,28,42,200000,800000,79183,25,Life,POL1038,VIP Policy,Unlimited cashless hospitalization; Private room cover; International treatment; Priority claim settlement; Family floater,98.9%,14194+ hospitals,No waiting period,Air ambulance; Home healthcare; Global treatment,Luxury healthcare with VIP support,Section 80D,Cashless Claim
PromisePlus Plan 822,Flexible policy with riders for disability and critical illness.,Aadhar Card;PAN Card;Income Proof;Medical Records,23,40,300000,1200000,63012,5,Life,POL1039,Premium Policy,ICU and surgery cover; Pre and post hospitalization; Maternity benefits; Critical illness cover; No claim bonus,94.6%,7461+ hospitals,15 days,Dental care; Maternity rider; Critical illness rider,Extended coverage with faster claims,Section 80D,Cashless Claim
RideSafe Shield 590,Comprehensive two-wheeler insurance with roadside assistance.,Aadhar Card;PAN Card;Driving License;Bike Registration;Number of the vehicle's registration;Legal RC,25,49,50000,1200000,55857,28,Bike,POL1040,VIP Policy,Unlimited cashless hospitalization; Private room cover; International treatment; Priority claim settlement; Family floater,99.4%,10484+ hospitals,No waiting period,Air ambulance; Home healthcare; Global treatment,Luxury healthcare with VIP support,Section 80D,Cashless Claim
BikeGuard Pro 806,Budget-friendly bike policy covering damage and theft.,Aadhar Card;PAN Card;Driving License;Bike Registration;Number of the vehicle's registration;Legal RC,28,45,300000,1200000,23185,20,Bike,POL1041,VIP Policy,Unlimited cashless hospitalization; Private room cover; International treatment; Priority claim settlement; Family floater,97.7%,9421+ hospitals,No waiting period,Air ambulance; Home healthcare; Global treatment,Luxury healthcare with VIP support,Section 80D,Cashless Claim
TwoWheeler Secure 720,"Full coverage for accidents, floods, and fire incidents.",Aadhar Card;PAN Card;Driving License;Bike Registration;Number of the vehicle's registration;Legal RC,27,60,300000,1200000,43652,5,Bike,POL1042,Premium Policy,ICU and surgery cover; Pre and post hospitalization; Maternity benefits; Critical illness cover; No claim bonus,96.9%,8096+ hospitals,15 days,Dental care; Maternity rider; Critical illness rider,Extended coverage with faster claims,Section 80D,Cashless Claim
MotoProtect Elite 553,Enhanced plan with zero depreciation and helmet cover.,Aadhar Card;PAN Card;Driving License;Bike Registration;Number of the vehicle's registration;Legal RC,21,65,200000,800000,36951,17,Bike,POL1043,VIP Policy,Unlimited cashless hospitalization; Private room cover; International treatment; Priority claim settlement; Family floater,99.3%,12433+ hospitals,No waiting period,Air ambulance; Home healthcare; Global treatment,Luxury healthcare with VIP support,Section 80D,Cashless Claim
WheelSafe Plan 534,Instant claim processing with online approvals.,Aadhar Card;PAN Card;Driving License;Bike Registration;Number of the vehicle's registration;Legal RC,27,57,50000,500000,14744,9,Bike,POL1044,Premium Policy,ICU and surgery cover; Pre and post hospitalization; Maternity benefits; Critical illness cover; No claim bonus,96.8%,6404+ hospitals,15 days,Dental care; Maternity rider; Critical illness rider,Extended coverage with faster claims,Section 80D,Cashless Claim
FamilyCare Shield 475,Covers entire family under one premium with cashless treatment.,Aadhar Card;PAN Card;Family Member Details,30,48,200000,500000,91681,13,Family,POL1045,VIP Policy,Unlimited cashless hospitalization; Private room cover; International treatment; Priority claim settlement; Family floater,97.4%,14156+ hospitals,No waiting period,Air ambulance; Home healthcare; Global treatment,Luxury healthcare with VIP support,Section 80D,Cashless Claim
HomeGuard Secure 186,Affordable family protection with annual health checkups.,Aadhar Card;PAN Card;Family Member Details,21,51,300000,1200000,68451,19,Family,POL1046,General Policy,Basic hospitalization cover; Cashless treatment; Doctor consultation; Emergency ambulance; Annual health checkup,91.7%,4691+ hospitals,30 days,Accidental cover; OPD support,Affordable essential protection,Section 80D,Cashless Claim
TotalFamily Protect 249,"Full coverage for spouse, children, and dependent parents.",Aadhar Card;PAN Card;Family Member Details,24,44,100000,800000,3236,21,Family,POL1047,VIP Policy,Unlimited cashless hospitalization; Private room cover; International treatment; Priority claim settlement; Family floater,99.0%,11342+ hospitals,No waiting period,Air ambulance; Home healthcare; Global treatment,Luxury healthcare with VIP support,Section 80D,Cashless Claim
FamilyWellness Plan 856,Includes maternity and newborn care along with hospitalization.,Aadhar Card;PAN Card;Family Member Details,27,62,50000,500000,72067,12,Family,POL1048,Premium Policy,ICU and surgery cover; Pre and post hospitalization; Maternity benefits; Critical illness cover; No claim bonus,95.4%,8823+ hospitals,15 days,Dental care; Maternity rider; Critical illness rider,Extended coverage with faster claims,Section 80D,Cashless Claim
GuardianFamily Pact 640,Comprehensive family wellness plan with ambulance cover.,Aadhar Card;PAN Card;Family Member Details,21,51,300000,1200000,3441,11,Family,POL1049,VIP Policy,Unlimited cashless hospitalization; Private room cover; International treatment; Priority claim settlement; Family floater,97.5%,13354+ hospitals,No waiting period,Air ambulance; Home healthcare; Global treatment,Luxury healthcare with VIP support,Section 80D,Cashless Claim
